"orderid","lineid","productid","qtyordered","itemprice","voided","voiddate","fillsiteid","filllocationid","commissiontype","spiff","originalinventorycost","filldate","inventorycostdate","inventoryreceiptdate","addeddate","fillfromsiteid","fillfromlocationid","mainorderid","packageid","salesperson1","salesperson2","percentofsale1","percentofsale2","picked","upcharge","discount","valueforproductid","valueforlineid","valueproductid","valueproductlineid","warrantyproductid","warrantyproductlineid","deliverypoints","takenwith","setup","pickupdiscount","setupcommission","deliverycommission","taxruleid","taxliability","taxbasis","customertax","retailertax","priceauthorizedby","leaveincarton","outletid","outletstatusid","outletdate","serialnumber","outletcomment","originalprice","originalalacarteprice","originalregularprice","promotionid","adjustmentreasonid","autoadjusteduid","autoadjustedvoided","storecardloaded","addedbyapp","interfacedforsalescube","interfacedforforecasting","auditaction","oldorderid","oldlineid","priceoverridereason","lineadded","totalothercost","deleteline","returnlinematched"
"0710521IG24",3,"541266595",1.00,647.86,N,,"01",DC,Z,,315.00,2025-07-10 15:49:05.631,2025-05-23 00:00:00.000,2025-05-23 00:00:00.000,,,,"0710521IG24",,awd,,100.000,,,,0.00,,,,,,,0,N,N,,N,N,,,,,,,N,,,,,,647.86,647.86,647.86,,,,,,2025-07-10 15:49:05.076,Y,N,U,,0,,,9.45,,N
"0710521IG24",2,"777035272",1.00,535.54,N,,"01",DC,Z,,309.00,2025-07-10 15:49:05.740,2025-06-13 00:00:00.000,2025-06-13 00:00:00.000,,,,"0710521IG24",,awd,,100.000,,,,0.00,,,,,,,25,N,N,,N,N,,,,,,,N,,,,,,535.54,535.54,535.54,,,,,,2025-07-10 15:49:05.076,Y,N,U,,0,,,24.72,,N
"0710530HX83",2,"726188151",1.00,242.32,N,,"01",DC,Z,,106.00,2025-07-10 08:18:32.758,2025-04-01 00:00:00.000,2025-04-01 00:00:00.000,,,,"0710530HX83","731041760",can,,100.000,,,,0.00,,,,,,,5,N,N,,N,N,,,,,,,N,,,,,,242.32,251.71,251.71,,,,,,2025-07-10 08:18:32.349,Y,N,U,,0,,,12.84,,N
"0710530IC11",2,"653948888",1.00,592.31,N,,,,Z,,,,,,,,,"0710530IC11",,mse,,100.000,,,,0.00,,,"4YEARFCP",5,,,26,N,N,,N,N,,,,,,,N,,,,,,592.31,592.31,592.31,,,,,,2025-07-10 12:10:29.369,Y,N,U,,0,,,0.00,,N
"0710530IH58",4,DECLINE,1.00,0.00,N,,,,Z,,,,,,,,,"0710530IH58",,aeg,,100.000,,,,0.00,,,,,,,0,N,N,,N,N,,,,,,,N,,,,,,0.00,0.00,0.00,,,,,,2025-07-10 16:57:07.537,Y,N,I,,0,,,0.00,,N
"0710530IH58",1,"611973929",1.00,867.31,N,,"01",DC,Z,,410.00,2025-07-10 16:53:23.102,2025-03-31 00:00:00.000,2025-03-31 00:00:00.000,,,,"0710530IH58",,aeg,,100.000,,,,0.00,,,,,,,63,N,N,,N,N,,,,,,,N,,,,,,867.31,867.31,867.31,,,,,,2025-07-10 16:53:22.344,Y,N,U,,0,,,28.70,,N
"0710544HY69",2,"643200097",1.00,46.97,N,,"01",DC,Z,,35.00,2025-07-10 09:30:43.796,2025-03-28 00:00:00.000,2025-03-28 00:00:00.000,,,,"0710544HY69",,lcd,,100.000,,,,0.00,,,,,,,4,N,N,,N,N,,,,,,lcd,N,,,,,,0.00,0.00,0.00,,,,,,2025-07-10 09:30:43.531,Y,N,U,,0,TAG,,2.10,,N
"0710544HZ54",5,"240245983",1.00,169.59,N,,,,Z,,,,,,,,,"0710544HZ54",,mk,,100.000,,,,0.00,,,,,,,4,N,N,,N,N,,,,,,,N,,,,,,169.59,169.59,169.59,,,,,,2025-07-10 10:10:22.941,Y,N,U,,0,,,11.44,,N
"0710544II27",8,DECLINE,1.00,0.00,N,,,,Z,,,,,,,,,"0710544II27",,mk,nef,50.000,50.000,,,0.00,,,,,,,0,N,N,,N,N,,,,,,,N,,,,,,0.00,0.00,0.00,,,,,,2025-07-10 18:01:53.828,Y,N,U,,0,,,0.00,,N
"0710555IB86",2,"313732869",1.00,170.00,N,,"01",DC,Z,,62.00,2025-07-10 12:01:46.063,2025-07-03 00:00:00.000,2025-07-03 00:00:00.000,,,,"0710555IB86",,mka,,100.000,,,,0.00,,,,,,,0,N,N,,N,N,,,,,,,N,,,,,,170.00,170.00,170.00,,,,,,2025-07-10 12:01:45.277,Y,N,U,,0,,,0.00,,N
"0710544IG47",1,"138896053",1.00,285.47,N,,,,Z,,,,,,,,,"0710544IG47",,mk,,100.000,,,,0.00,,,,,,,0,N,N,,N,N,,,,,,,N,,,,,,285.47,285.47,285.47,,,,,,2025-07-10 15:51:38.113,Y,N,I,,0,,,0.00,,N
"0710544IE13",3,"639423945",1.00,315.00,N,,,,Z,,,,,,,,,"0710544IE13",,tkm,,100.000,,,,0.00,,,,,,,31,N,N,,N,N,,,,,,,N,,,,,,315.00,315.00,315.00,,,,,,2025-07-10 14:24:43.926,Y,N,I,,0,,,0.00,,N
"0710544IG47",2,JACK43763PC,1.00,0.00,N,,,,Z,,,,,,,,,"0710544IG47",,mk,,100.000,,,,0.00,,,,,,,0,N,N,,N,N,,,,,,,N,,,,,,2498.02,2498.02,2498.02,,,,,,2025-07-10 15:51:38.121,Y,N,I,,0,,,0.00,,N
