"orderid","lineid","productid","qtyordered","itemprice","voided","voiddate","fillsiteid","filllocationid","commissiontype","spiff","originalinventorycost","filldate","inventorycostdate","inventoryreceiptdate","addeddate","fillfromsiteid","fillfromlocationid","mainorderid","packageid","salesperson1","salesperson2","percentofsale1","percentofsale2","picked","upcharge","discount","valueforproductid","valueforlineid","valueproductid","valueproductlineid","warrantyproductid","warrantyproductlineid","deliverypoints","takenwith","setup","pickupdiscount","setupcommission","deliverycommission","taxruleid","taxliability","taxbasis","customertax","retailertax","priceauthorizedby","leaveincarton","outletid","outletstatusid","outletdate","serialnumber","outletcomment","originalprice","originalalacarteprice","originalregularprice","promotionid","adjustmentreasonid","autoadjusteduid","autoadjustedvoided","storecardloaded","addedbyapp","interfacedforsalescube","interfacedforforecasting","auditaction","oldorderid","oldlineid","priceoverridereason","lineadded","totalothercost","deleteline","returnlinematched"
"0710511IB15",2,"113339022",1.00,0.00,N,,,,Z,,,,,,,,,"0710511IB15",,jne,,100.000,,,,0.00,,,,,,,0,N,N,,N,N,,,,,,,N,,,,,,1298.00,1298.00,1298.00,,,,,,2025-07-10 17:04:09.593,Y,N,I,,0,,,0.00,,N
"0710511IB15",11,"562216165",1.00,144.23,N,,"01",DC,Z,,52.77,2025-07-10 17:04:10.327,2025-05-31 00:00:00.000,2025-05-31 00:00:00.000,,,,"0710511IB15","113339022",jne,,100.000,,,,0.00,,,,,,,18,N,N,,N,N,,,,,,,N,,,,,,144.23,0.00,0.00,,,,,,2025-07-10 17:04:09.593,Y,N,U,,0,,,6.33,,N
"0710511IB29",1,"574892790",1.00,200.00,N,,"01",DC,Z,,75.00,2025-07-10 11:03:44.525,2025-07-03 00:00:00.000,2025-07-03 00:00:00.000,,,,"0710511IB29",,taw,,100.000,,,,0.00,,,,,,,0,N,N,,N,N,,,,,,,N,,,,,,200.00,200.00,200.00,,,,,,2025-07-10 11:03:44.062,Y,N,U,,0,,,0.00,,Y
"0710511IB66",3,LI244-OT1011,1.00,347.21,N,,,,Z,,,,,,,,,"0710511IB66",,kg,,100.000,,,,18.27,,,,,,,11,N,N,,N,N,,,,,,,N,,,,,,365.48,365.48,365.48,,,,,,2025-07-10 11:39:50.799,Y,N,U,,0,,,0.00,,N
"0710511IC18",5,"4YEARFCP",1.00,349.99,N,,,,P,,,,,,,,,"0710511IC18",,cdd,,100.000,,,,0.00,,,,,,,0,N,N,,N,N,,,,,,,N,,,,,,349.99,0.00,0.00,,,,,,2025-07-09 13:34:48.832,Y,N,U,,0,,,0.00,,N
"0710511IC28",1,"224957148",1.00,999.99,N,,"11",FLOOR,Z,,539.70,2025-07-10 17:58:53.480,2024-06-25 00:00:00.000,2024-06-25 00:00:00.000,,"11",FLOOR,"0710511IC28",,mse,,100.000,,,,0.00,,,,,,,0,N,N,,N,N,,,,,,mse,N,,,,,,1116.44,1116.44,1116.44,,,,,,2025-07-10 12:25:36.240,Y,N,U,,0,FLOOR,,18.52,,N
"0710511IC72",4,DECLINE,1.00,0.00,N,,,,Z,,,,,,,,,"0710511IC72",,alb,tao,50.000,50.000,,,0.00,,,,,,,0,N,N,,N,N,,,,,,,N,,,,,,0.00,0.00,0.00,,,,,,2025-07-10 12:38:19.970,Y,N,I,,0,,,0.00,,N
"0710511IC91",1,"313732869",1.00,170.00,N,,"01",DC,Z,,62.00,2025-07-10 12:50:33.968,2025-07-03 00:00:00.000,2025-07-03 00:00:00.000,,,,"0710511IC91",,mdm,,100.000,,,,0.00,,,,,,,0,N,N,,N,N,,,,,,,N,,,,,,170.00,170.00,170.00,,,,,,2025-07-10 12:50:33.477,Y,N,U,,0,,,0.00,,N
"0710511ID17",2,XSF250MQ,1.00,999.00,N,,"03",DOCK13,Z,,390.00,2025-07-10 13:20:34.910,2025-03-05 00:00:00.000,2025-03-05 00:00:00.000,,,,"0710511ID17",,mcc,,100.000,,,,0.00,,,"10YRADJPB",3,,,12,N,N,,N,N,,,,,,,N,,,,,,999.00,999.00,999.00,,,,,,2025-07-10 13:20:34.417,Y,N,U,,0,,,35.10,,N
"0710511ID39",6,"553308643",1.00,692.18,N,,"01",DC,Z,,300.00,2025-07-10 14:08:55.161,2025-02-14 00:00:00.000,2025-02-14 00:00:00.000,,,,"0710511ID39","941589836",gg,,100.000,,,,0.00,,,,,,,57,N,N,,N,N,,,,,,,N,,,,,,692.18,0.00,0.00,,,,,,2025-07-10 14:08:54.724,Y,N,U,,0,,,24.00,,N
"0710511ID52",1,HS169-98-21,1.00,677.87,N,,,,Z,0.00,,,2025-06-13 00:00:00.000,2025-06-13 00:00:00.000,,,,"0710511ID52",,mcc,,100.000,,,,0.00,,,,,,,24,N,N,,N,N,,,,,,,N,,,,,,677.87,,,,,,,,2025-07-10 13:53:50.597,Y,N,U,,0,,,21.60,,N
"0710511ID67",1,"837107799",1.00,0.00,N,,,,Z,,,,,,,,,"0710511ID67",,eh,,100.000,,,,0.00,,,,,,,0,N,N,,N,N,,,,,,,N,,,,,,1879.23,1879.23,1879.23,,,,,,2025-07-10 14:04:01.495,Y,N,I,,0,,,0.00,,N
"0710511ID67",5,"357180237",1.00,535.29,N,,"01",DC,Z,,191.00,2025-07-10 14:04:02.240,2025-04-08 00:00:00.000,2025-04-08 00:00:00.000,,,,"0710511ID67","837107799",eh,,100.000,,,,0.00,,,,,,,25,N,N,,N,N,,,,,,,N,,,,,,535.29,0.00,0.00,,,,,,2025-07-10 14:04:01.495,Y,N,U,,0,,,63.08,,N
"0710511ID74",9,D546-424,1.00,169.59,N,,"01",DC,Z,,88.00,2025-07-10 14:09:52.508,2025-05-22 00:00:00.000,2025-05-22 00:00:00.000,,,,"0710511ID74",,taw,,100.000,,,,0.00,,,,,,,8,N,N,,N,N,,,,,,,N,,,,,,169.59,169.59,169.59,,,,,,2025-07-10 14:09:51.639,Y,N,U,,0,,,7.04,,N
"0710511ID79A",2,"275640336",1.00,388.03,N,,"11",FLOOR,Z,,258.00,2025-07-10 14:14:41.460,2024-01-31 00:00:00.000,2024-01-31 00:00:00.000,,"11",FLOOR,"0710511ID79","690444637",mse,,100.000,,,,0.00,,,,,,,0,N,N,,N,N,,,,,,,N,,,,,,388.03,636.71,636.71,,,,,,2025-07-10 14:14:27.766,Y,N,U,"0710511ID79",2,,,53.99,,N
"0710511IF32",18,"527177766",1.00,898.93,N,,"01",DC,Z,,285.00,2025-07-10 15:10:44.623,2025-05-15 00:00:00.000,2025-05-15 00:00:00.000,,,,"0710511IF32",,jgj,,100.000,,,,0.00,,,,,,,39,N,N,,N,N,,,,,,,N,,,,,,898.93,898.93,898.93,,,,,,2025-07-10 15:10:43.863,Y,N,U,,0,,,119.97,,N
"0710511IF32",25,"642329684",1.00,204.37,N,,"01",DC,Z,,68.00,2025-07-10 15:11:57.124,2025-05-15 00:00:00.000,2025-05-15 00:00:00.000,,,,"0710511IF32","749128611",jgj,,100.000,,,,0.00,,,,,,,7,N,N,,N,N,,,,,,,N,,,,,,204.37,0.00,0.00,,,,,,2025-07-10 15:11:56.590,Y,N,U,,0,,,22.44,,N
"0710511IF32",3,"451228924",1.00,298.00,N,,"01",DC,Z,,150.00,2025-07-10 15:01:29.091,2025-06-25 00:00:00.000,2025-06-25 00:00:00.000,,,,"0710511IF32",,jgj,,100.000,,,,0.00,,,,,,,0,N,N,,N,N,,,,,,,N,,,,,,298.00,298.00,298.00,,,,,,2025-07-10 15:01:28.857,Y,N,U,,0,,,0.00,,N
"0710511IF32",10,"241542807",1.00,170.00,N,,"01",DC,Z,,62.00,2025-07-10 15:07:31.770,2025-07-03 00:00:00.000,2025-07-03 00:00:00.000,,,,"0710511IF32",,jgj,,100.000,,,,0.00,,,,,,,0,N,N,,N,N,,,,,,,N,,,,,,170.00,170.00,170.00,,,,,,2025-07-10 15:07:30.993,Y,N,U,,0,,,0.00,,N
"0710511IF35",2,RECYCLEMATT,1.00,30.00,N,,,,ZERO,,,,,,,,,"0710511IF35",,rtt,,100.000,,,,0.00,,,,,,,0,N,N,,N,N,,,,,,,N,,,,,,30.00,30.00,30.00,,,,,,2025-07-10 15:03:00.636,Y,N,I,,0,,,0.00,,N
"0710511IF38",13,"938865754",1.00,488.97,N,,,,Z,,,,,,,,,"0710511IF38",,ler,,100.000,,,,0.00,,,,,,,18,N,N,,N,N,,,,,,,N,,,,,,488.97,488.97,488.97,,,,,,2025-07-10 15:37:10.467,Y,N,I,,0,,,26.28,,N
"0710511IF38",7,DAVI5DN8X10,1.00,649.99,N,,"11",FLOOR,Z,,249.00,2025-07-10 15:06:35.816,2025-06-13 00:00:00.000,2025-06-13 00:00:00.000,,"11",FLOOR,"0710511IF38",,ler,,100.000,,,,0.00,,,,,,,0,N,N,,N,N,,,,,,,N,,,,,,649.99,649.99,649.99,,,,,,2025-07-10 15:06:35.594,Y,N,U,,0,,,12.45,,N
"0710511IF47",5,"875943267",1.00,652.21,N,,"03",DOCK16,Z,,254.00,2025-07-10 15:10:09.491,2025-04-10 00:00:00.000,2025-04-10 00:00:00.000,,,,"0710511IF47","884799046",sk,,100.000,,,,0.00,,,,,,,17,N,N,,N,N,,,,,,,N,,,,,,652.21,0.00,0.00,,,,,,2025-07-10 15:10:08.491,Y,N,U,,0,,,53.63,,N
"0710511IF94",6,"150-NOMOVE",1.00,0.00,N,,,,Z,,,,,,,,,"0710511IF94",,ml,,100.000,,,,0.00,,,,,,,0,N,N,,N,N,,,,,,,N,,,,,,0.00,0.00,0.00,,,,,,2025-07-10 15:43:59.127,Y,N,I,,0,,,0.00,,N
"0710511IF99",1,"712217805",1.00,847.49,N,,,,Z,,,,,,,,,"0710511IF99",,amd,,100.000,,,,0.00,,,,,,,0,N,N,,N,N,,,,,,amd,N,,,,,,892.09,892.09,892.09,,,,,,2025-07-10 15:26:04.784,Y,N,U,,0,INCRT,,36.90,,N
"0710511IG16",1,"436253774",1.00,773.23,Y,2025-07-10 00:00:00.000,,,Z,,,,,,,,,"0710511IG16",,mcc,,100.000,,,,0.00,,,,,,,18,N,N,,N,N,,,,,,,N,,,,,,773.23,773.23,773.23,,,,,,2025-07-10 15:25:13.856,Y,N,U,,0,,,43.08,,N
"0710511IG21",1,"241542807",1.00,170.00,N,,"01",DC,Z,0.00,62.00,,2025-07-03 00:00:00.000,2025-07-03 00:00:00.000,,,,"0710511IG21",,dcm,ml,50.000,50.000,,,0.00,,,,,,,0,N,N,,N,N,,,,,,,N,,,,,,170.00,,,,,,,,2025-07-10 15:25:10.899,Y,N,U,,0,,,0.00,,N
"0710511IG28",5,S38483049,1.00,1691.12,N,,,,S,,,,,,,,,"0710511IG28",,jht,,100.000,,,,0.00,,,,,,,42,N,N,,N,N,,,,,,,N,,,,,,0.00,0.00,0.00,,,,,,2025-07-10 16:23:45.229,Y,N,I,,0,,,0.00,,N
"0710511IG38",2,RECYCLEMATT,1.00,30.00,N,,,,ZERO,,,,,,,,,"0710511IG38",,jgj,,100.000,,,,0.00,,,,,,,0,N,N,,N,N,,,,,,,N,,,,,,30.00,30.00,30.00,,,,,,2025-07-10 15:41:04.979,Y,N,U,,0,,,0.00,,N
"0710511IH32",2,"161949873",1.00,127.38,N,,"01",DC,Z,0.00,62.00,,2025-05-22 00:00:00.000,2025-05-22 00:00:00.000,,,,"0710511IH32",,mdm,,100.000,,,,0.00,,,,,,,7,N,N,,N,N,,,,,,,N,,,,,,127.38,,,,SLS,,,,2025-07-10 16:37:52.052,Y,N,U,,0,,,4.96,,N
"0710511IH32",1,M20231,1.00,329.00,N,,"01",DC,Z,0.00,179.00,,2025-06-24 00:00:00.000,2025-06-24 00:00:00.000,,,,"0710511IH32",,mdm,,100.000,,,,0.00,,,,,,,7,N,N,,N,N,,,,,,,N,,,,,,329.00,,,,SLS,,,,2025-07-10 16:37:52.052,Y,N,U,,0,,,18.80,,N
"0710511IH62",5,"263465119",1.00,1497.92,N,,"01",DC,Z,,643.00,2025-07-10 18:04:28.808,2024-05-21 00:00:00.000,2024-05-21 00:00:00.000,,,,"0710511IH62",,can,,100.000,,,,0.00,,,,,,,17,N,N,,N,N,,,,,,,N,,,,,,1497.92,1497.92,1497.92,,,,,,2025-07-10 18:04:28.469,Y,N,U,,0,,,48.23,,N
"0710511IH62",12,"059884581",1.00,235.84,N,,"01",DC,Z,,82.00,2025-07-10 18:14:51.271,2025-05-15 00:00:00.000,2025-05-15 00:00:00.000,,,,"0710511IH62","926863143",can,,100.000,,,,0.00,,,,,,,8,N,N,,N,N,,,,,,,N,,,,,,235.84,0.00,0.00,,,,,,2025-07-10 18:14:50.716,Y,N,U,,0,,,24.27,,N
"0710511IH77",1,M20231,1.00,323.59,N,,"01",DC,Z,,179.00,2025-07-10 17:23:38.000,2025-06-24 00:00:00.000,2025-06-24 00:00:00.000,,"01",,"0710511IH77",,mdm,,100.000,,,,0.00,,,,,,,7,N,N,,N,N,,,,,,nahc,N,,,,,,329.00,329.00,329.00,,,,,,2025-07-10 17:23:36.814,Y,N,U,,0,MGR,,14.32,,N
"0710511IH94",5,"947097594",1.00,987.54,N,,"01",DC,Z,,365.00,2025-07-10 17:28:53.887,2025-02-04 00:00:00.000,2025-02-04 00:00:00.000,,,,"0710511IH94",,eh,,100.000,,,,0.00,,,"4YEARFCP",6,,,36,N,N,,N,N,,,,,,,N,,,,,,987.54,987.54,987.54,,,,,,2025-07-10 17:28:53.114,Y,N,U,,0,,,109.02,,N
"0710511II12",2,"4YEARFCP",1.00,249.99,Y,2025-07-10 00:00:00.000,,,P,,,,,,,,,"0710511II12",,rar,,100.000,,,,0.00,,,,,,,0,N,N,,N,N,,,,,,,N,,,,,,249.99,0.00,0.00,,,,,,2025-07-10 17:35:02.685,Y,N,U,,0,,,0.00,,N
"0710511II31",2,"850214576",1.00,297.77,N,,,,Z,,,,,,,,,"0710511II31",,rar,,100.000,,,,0.00,,,,,,,37,N,N,,N,N,,,,,,,N,,,,,,297.77,297.77,297.77,,,,,,2025-07-10 18:22:57.027,Y,N,I,,0,,,0.00,,N
"0710512IB45",1,"328692162",1.00,149.99,N,,"12",FLOOR-OUT,Z,0.00,150.00,2025-07-10 11:28:45.154,2025-07-05 00:00:00.000,2025-07-05 00:00:00.000,,,,"0710512IB45",,gg,,100.000,,,,0.00,,,,,,,25,N,N,,N,N,,,,,,gg,N,T100674316,OUT,2025-07-05 00:00:00.000,,tent as-is. could not clean well enough for stock. pet hair and stains,309.54,309.54,309.54,,,,,,2025-07-10 11:28:45.123,Y,N,U,,0,TAG,,12.00,,N
"0710512IF97",3,"213167204",1.00,78.00,Y,2025-07-10 00:00:00.000,,,Z,0.00,,,,,,,,"0710512IF97",,ler,,100.000,,,,0.00,,,,,,,10,N,N,,N,N,,,,,,,N,"0618507447",,,,,78.00,78.00,78.00,,,,,,2025-07-10 15:21:07.167,Y,N,U,,0,,,3.28,,N
"0710521IA39",3,"801882804",1.00,686.00,N,,"01",DC,Z,,360.00,2025-07-10 10:37:43.183,2025-06-26 00:00:00.000,2025-06-26 00:00:00.000,,,,"0710521IA39",,alg,,100.000,,,,0.00,,,,,,,7,N,N,,N,N,,,,,,,N,,,,,,686.00,686.00,686.00,,,,,,2025-07-10 10:37:42.433,Y,N,U,,0,,,37.80,,N
"0710521IB36",2,"938431848",1.00,2752.73,N,,,,Z,,,,,,,,,"0710521IB36",,awd,,100.000,,,,0.00,,,"4YEARFCP",4,,,54,N,N,,N,N,,,,,,,N,,,,,,2752.73,2752.73,2752.73,,,,,,2025-07-10 11:15:04.259,Y,N,I,,0,,,0.00,,N
"0710521IB59",7,IFD1022RAILS-EK,1.00,191.40,N,,,,Z,,,,,,,,,"0710521IB59",IFDK1022KB,awd,,100.000,,,,0.00,,,,,,,2,N,N,,N,N,,,,,,,N,,,,,,191.40,191.40,191.40,,,,,,2025-07-10 11:35:52.527,Y,N,I,,0,,,0.00,,N
"0710521IB74",20,"161386301",1.00,643.48,N,,"01",DC,Z,,345.00,2025-07-10 12:25:18.669,2025-06-28 00:00:00.000,2025-06-28 00:00:00.000,,,,"0710521IB74","601759935",lwe,,100.000,,,,0.00,,,,,,,43,N,N,,N,N,,,,,,,N,,,,,,643.48,643.52,643.52,,,,,,2025-07-10 12:16:35.082,Y,N,U,,0,,,27.60,,N
"0710521IB74",17,LI417-BR14,1.00,230.14,N,,"01",DC,Z,,80.00,2025-07-10 12:25:20.813,2025-05-07 00:00:00.000,2025-05-07 00:00:00.000,,,,"0710521IB74",LIK417QB,lwe,,100.000,,,,0.00,,,,,,,7,N,N,,N,N,,,,,,,N,,,,,,230.14,0.00,0.00,,,,,,2025-07-10 12:13:51.320,Y,N,U,,0,,,22.63,,N
"0710521IB74",10,"729015299",1.00,99.81,N,,"01",DC,Z,,30.00,2025-07-10 12:25:20.360,2025-04-10 00:00:00.000,2025-04-10 00:00:00.000,,,,"0710521IB74","212004979",lwe,,100.000,,,,0.00,,,,,,,4,N,N,,N,N,,,,,,,N,,,,,,99.81,0.00,0.00,,,,,,2025-07-10 11:57:48.081,Y,N,U,,0,,,9.55,,N
"0710521ID46",3,"813102448",1.00,638.16,N,,"03",DOCK16,Z,,250.00,2025-07-10 13:49:19.064,2025-05-16 00:00:00.000,2025-05-16 00:00:00.000,,,,"0710521ID46",,kwb,,100.000,,,,0.00,,,,,,,16,N,N,,N,N,,,,,,,N,,,,,,638.16,638.16,638.16,,,,,,2025-07-07 11:26:14.580,Y,N,U,,0,,,50.22,,N
"0710521ID46",2,"134423580",1.00,250.05,N,,"01",DC,Z,,99.00,2025-07-10 13:49:18.504,2025-06-09 00:00:00.000,2025-06-09 00:00:00.000,,,,"0710521ID46",,kwb,,100.000,,,,0.00,,,,,,,8,N,N,,N,N,,,,,,,N,,,,,,250.05,250.05,250.05,,,,,,2025-07-07 11:26:14.580,Y,N,U,,0,,,16.38,,N
"0710521IG23",10,"190729796",1.00,789.40,N,,"01",DC,Z,,433.00,2025-07-10 16:33:34.282,2025-05-30 00:00:00.000,2025-05-30 00:00:00.000,,,,"0710521IG23",,djs,,100.000,,,,0.00,,,,,,,61,N,N,,N,N,,,,,,,N,,,,,,789.40,789.40,789.40,,,,,,2025-07-10 16:33:33.901,Y,N,U,,0,,,34.64,,N
"0710521IG24",1,"355341744",1.00,298.00,N,,"03",DOCK09,Z,,249.00,2025-07-10 15:49:05.479,2025-06-30 00:00:00.000,2025-06-30 00:00:00.000,,,,"0710521IG24",,awd,,100.000,,,,0.00,,,,,,,59,N,N,,N,N,,,,,,,N,,,,,,298.00,298.00,298.00,,,,,,2025-07-10 15:49:05.076,Y,N,U,,0,,,19.92,,N
"0710521IG93",5,"586273805",1.00,192.71,N,,"01",DC,Z,,91.00,2025-07-10 16:28:30.564,2025-03-27 00:00:00.000,2025-03-27 00:00:00.000,,,,"0710521IG93",,djs,,100.000,,,,0.00,,,,,,,5,N,N,,N,N,,,,,,,N,,,,,,192.71,192.71,192.71,,,,,,2025-07-10 16:28:29.832,Y,N,U,,0,,,7.28,,N
"0710530HX83",1,"731041760",1.00,0.00,N,,,,Z,,,,,,,,,"0710530HX83",,can,,100.000,,,,0.00,,,,,,,0,N,N,,N,N,,,,,,,N,,,,,,444.30,444.30,444.30,,,,,,2025-07-10 08:18:32.349,Y,N,I,,0,,,0.00,,N
"0710530IB91",3,"841268414",1.00,113.55,N,,"01",DC,Z,,40.00,2025-07-10 12:00:52.525,2025-05-22 00:00:00.000,2025-05-22 00:00:00.000,,,,"0710530IB91","286268960",aeg,,100.000,,,,0.00,,,,,,,3,N,N,,N,N,,,,,,,N,,,,,,113.55,0.00,0.00,,,,,,2025-07-10 12:00:52.050,Y,N,U,,0,,,7.41,,N
"0710530IC11",1,"653948888",1.00,592.31,N,,,,Z,,,,,,,,,"0710530IC11",,mse,,100.000,,,,0.00,,,"4YEARFCP",5,,,26,N,N,,N,N,,,,,,,N,,,,,,592.31,592.31,592.31,,,,,,2025-07-10 12:10:29.369,Y,N,U,,0,,,0.00,,N
"0710530IF37",4,"114944095",1.00,0.00,N,,,,Z,,,,,,,,,"0710530IF37",,jec,,100.000,,,,0.00,,,,,,,0,N,N,,N,N,,,,,,,N,,,,,,2529.99,2529.99,2529.99,,,,,,2025-07-10 15:14:25.376,Y,N,I,,0,,,0.00,,N
"0710530IF37",12,"129955020",1.00,137.00,N,,,,Z,,,,,,,,,"0710530IF37",,jec,,100.000,,,,0.00,,,,,,,0,N,N,,N,N,,,,,,jec,N,,,,,,219.99,219.99,219.99,,,,,,2025-07-10 15:14:25.376,Y,N,I,,0,COMP,,8.72,,N
"0710530IH17",2,"177945285",1.00,223.12,N,,,,Z,,,,,,,,,"0710530IH17",,can,,100.000,,,,74.37,,,,,,,12,N,N,,N,N,,,,,,,N,,,,,,297.49,297.49,297.49,,,,,,2025-07-10 16:33:42.851,Y,N,U,,0,,,15.48,,N
"0710530IH58",3,"203184331",1.00,359.61,N,,"01",DC,Z,,170.00,2025-07-10 16:53:22.797,2025-04-16 00:00:00.000,2025-04-16 00:00:00.000,,,,"0710530IH58",,aeg,,100.000,,,,0.00,,,,,,,9,N,N,,N,N,,,,,,,N,,,,,,359.61,359.61,359.61,,,,,,2025-07-10 16:53:22.344,Y,N,U,,0,,,11.90,,N
"0710544HY22",1,VB172-115,1.00,1622.71,N,,"01",DC,Z,,879.99,2025-07-10 09:18:32.293,2025-07-07 00:00:00.000,2025-07-07 00:00:00.000,,,,"0710544HY22",,edv,,100.000,,,,0.00,,,,,,,28,N,N,,N,N,,,,,,,,,,,,,1622.71,1622.71,1622.71,,,,,,2025-07-10 09:18:32.051,Y,N,U,,0,,,27.50,,N
"0710544HY69",1,"849359884",1.00,93.93,N,,"01",DC,Z,,70.00,2025-07-10 09:30:43.899,2025-03-28 00:00:00.000,2025-03-28 00:00:00.000,,,,"0710544HY69",,lcd,,100.000,,,,0.00,,,,,,,7,N,N,,N,N,,,,,,lcd,N,,,,,,0.00,0.00,0.00,,,,,,2025-07-10 09:30:43.531,Y,N,U,,0,TAG,,4.20,,N
"0710544HZ54",1,M20331,1.00,379.00,N,,,,Z,,,,,,,,,"0710544HZ54",,mk,,100.000,,,,0.00,,,,,,,7,N,N,,N,N,,,,,,,N,,,,,,379.00,379.00,379.00,,,,,,2025-07-10 10:01:59.665,Y,N,U,,0,,,4.98,,N
"0710544HZ54",4,"240245983",1.00,169.59,N,,,,Z,,,,,,,,,"0710544HZ54",,mk,,100.000,,,,0.00,,,,,,,4,N,N,,N,N,,,,,,,N,,,,,,169.59,169.59,169.59,,,,,,2025-07-10 10:10:22.941,Y,N,U,,0,,,11.44,,N
"0710544IB34",6,"137001528",1.00,647.78,N,,,,Z,,,,,,,,,"0710544IB34","119091922",mk,,100.000,,,,0.00,,,,,,,15,N,N,,N,N,,,,,,,N,,,,,,647.78,0.00,0.00,,,,,,2025-07-10 11:08:48.998,Y,N,I,,0,,,0.00,,N
"0710544IB41",2,"823421185",1.00,366.47,N,,"01",DC,Z,,141.00,2025-07-10 11:21:44.127,2025-04-23 00:00:00.000,2025-04-23 00:00:00.000,,,,"0710544IB41","948195614",tkm,,100.000,,,,0.00,,,,,,,11,N,N,,N,N,,,,,,,N,,,,,,366.47,0.00,0.00,,,,,,2025-07-01 16:24:13.156,Y,N,U,,0,,,33.85,,N
"0710544IB34",2,"458587098",1.00,445.60,N,,,,Z,,,,,,,,,"0710544IB34","735354290",mk,,100.000,,,,0.00,,,,,,,12,N,N,,N,N,,,,,,,N,,,,,,445.60,0.00,0.00,,,,,,2025-07-10 11:08:48.998,Y,N,I,,0,,,0.00,,N
"0710544IB19",4,"150-NOMOVE",1.00,0.00,N,,,,Z,,,,,,,,,"0710544IB19",,tkm,,100.000,,,,0.00,,,,,,,0,N,N,,N,N,,,,,,,N,,,,,,0.00,0.00,0.00,,,,,,2025-07-10 10:51:29.860,Y,N,U,,0,,,0.00,,N
"0710544IB34",3,"061253620",1.00,758.46,N,,,,Z,,,,,,,,,"0710544IB34","735354290",mk,,100.000,,,,0.00,,,,,,,21,N,N,,N,N,,,,,,,N,,,,,,758.46,0.00,0.00,,,,,,2025-07-10 11:08:48.998,Y,N,I,,0,,,0.00,,N
"0710544IB41",3,"638372807",1.00,582.67,N,,"01",DC,Z,,214.00,2025-07-10 11:21:43.776,2025-03-17 00:00:00.000,2025-03-17 00:00:00.000,,,,"0710544IB41","948195614",tkm,,100.000,,,,0.00,,,,,,,22,N,N,,N,N,,,,,,,N,,,,,,582.67,0.00,0.00,,,,,,2025-07-01 16:24:13.156,Y,N,U,,0,,,67.08,,N
"0710544IA72",4,DECLINE,1.00,0.00,N,,,,Z,,,,,,,,,"0710544IA72",,tkm,,100.000,,,,0.00,,,,,,,0,N,N,,N,N,,,,,,,N,,,,,,0.00,0.00,0.00,,,,,,2025-07-10 10:46:49.162,Y,N,U,,0,,,0.00,,N
"0710544IB41",1,"948195614",1.00,0.00,N,,,,Z,,,,,,,,,"0710544IB41",,tkm,,100.000,,,,0.00,,,,,,,0,N,N,,N,N,,,,,,,N,,,,,,1155.63,1155.63,1155.63,,,,,,2025-07-01 16:24:13.156,Y,N,U,,0,,,90.95,,N
"0710544IB41",7,"150-NOMOVE",1.00,0.00,N,,,,Z,,,,,,,,,"0710544IB41",,tkm,,100.000,,,,0.00,,,,,,,0,N,N,,N,N,,,,,,,N,,,,,,0.00,0.00,0.00,,,,,,2025-07-01 16:25:02.591,Y,N,U,,0,,,0.00,,N
"0710544IB41",10,"637712249",1.00,999.00,N,,"01",DC,Z,14.99,675.00,2025-07-10 11:21:43.652,2025-05-16 00:00:00.000,2025-05-16 00:00:00.000,,,,"0710544IB41",,tkm,,100.000,,,,0.00,,,,,,,39,N,N,,N,N,,,,,,tkm,N,,,,,,1499.00,1499.00,1499.00,,,,,,2025-07-10 11:17:51.536,Y,N,U,,0,TAG,,0.00,,N
"0710544IC26",1,"542334024",1.00,1297.00,N,,,,Z,,,,,,,,,"0710544IC26",,nef,,100.000,,,,0.00,,,,,,,0,N,N,,N,N,,,,,,,N,,,,,,1297.00,1297.00,1297.00,,,,,,2025-07-10 12:26:19.920,Y,N,I,,0,,,0.00,,N
"0710544IC26",4,"542334024",1.00,1297.00,N,,,,Z,,,,,,,,,"0710544IC26",,nef,,100.000,,,,0.00,,,,,,,0,N,N,,N,N,,,,,,,N,,,,,,1297.00,1297.00,1297.00,,,,,,2025-07-10 12:26:19.920,Y,N,I,,0,,,0.00,,N
"0710544ID65",1,"886184385",1.00,547.87,Y,2025-07-10 00:00:00.000,,,Z,,,,,,,,,"0710544ID65",,mk,,100.000,,,,0.00,,,,,,,24,N,N,,N,N,,,,,,,N,,,,,,547.87,547.87,547.87,,,,,,2025-07-10 14:05:13.910,Y,N,U,,0,,,0.00,,N
"0710544IE13",2,"878646142",1.00,3299.00,N,,,,Z,33.00,,,,,,,,"0710544IE13",,tkm,,100.000,,,,0.00,,,,,,,44,N,N,,N,N,,,,,,,N,,,,,,3299.00,3299.00,3299.00,,,,,,2025-07-10 14:24:43.926,Y,N,U,,0,,,0.00,,N
"0710544IE14",2,"836837587",1.00,2599.00,N,,,,Z,27.00,,,,,,,,"0710544IE14",,tkm,,100.000,,,,0.00,,,,,,,41,N,N,,N,N,,,,,,,N,,,,,,2599.00,2599.00,2599.00,,,,,,2025-07-10 14:26:33.477,Y,N,U,,0,,,0.00,,N
"0710544IE14",5,"724841677",1.00,109.00,N,,,,Z,,,,,,,,,"0710544IE14",,tkm,,100.000,,,,0.00,,,,,,,1,N,N,,N,N,,,,,,,N,,,,,,109.00,109.00,109.00,,,,,,2025-07-10 14:39:59.134,Y,N,I,,0,,,0.00,,N
